Date,high,low,close,volume,open
2024-01-25,124.26000213623047,118.91999816894531,121.01000213623047,8166400,122.37999725341797
2024-01-26,128.10000610351562,121.45999908447266,125.19999694824219,13956300,127.5199966430664
2024-01-29,136.88999938964844,125.80000305175781,132.82000732421875,17813700,127.08999633789062
2024-01-30,136.6999969482422,130.44000244140625,130.82000732421875,8745700,136.0500030517578
2024-01-31,135.5500030517578,127.56999969482422,128.1999969482422,9838800,129.08999633789062
2024-02-01,132.07000732421875,124.23999786376953,128.9499969482422,8464300,128.75
2024-02-02,130.1300048828125,125.55000305175781,129.22000122070312,6086000,126.9000015258789
2024-02-05,128.88999938964844,115.80000305175781,117.30000305175781,13067300,128.6999969482422
2024-02-06,120.9000015258789,115.9000015258789,119.79000091552734,6740600,118.61000061035156
2024-02-07,124.4000015258789,114.51000213623047,122.06999969482422,8985100,119.68000030517578
2024-02-08,133.0500030517578,125.80999755859375,132.5500030517578,11315900,127.22000122070312
2024-02-09,144.5500030517578,137.1699981689453,141.99000549316406,15985100,142.16000366210938
2024-02-12,150.35000610351562,140.99000549316406,147.30999755859375,10977100,141.10000610351562
2024-02-13,143.75,137.1300048828125,140.38999938964844,9568800,138.38999938964844
2024-02-14,161.1300048828125,150.39999389648438,160.3800048828125,18041800,151.8300018310547
2024-02-15,172.82000732421875,162.0800018310547,165.6699981689453,22992800,168.7899932861328
2024-02-16,193.63999938964844,178.8000030517578,180.30999755859375,33172400,189.0500030517578
2024-02-20,181.30999755859375,163.38999938964844,173.3000030517578,16196500,179.8699951171875
2024-02-21,168.08999633789062,161.19000244140625,162.41000366210938,10689600,164.25
2024-02-22,171.99000549316406,163.8000030517578,170.91000366210938,9027300,164.85000610351562
2024-02-23,170.0,160.66000366210938,165.97999572753906,7169000,167.3800048828125
2024-02-26,196.9499969482422,168.39999389648438,193.94000244140625,22593700,168.66000366210938
2024-02-27,209.94000244140625,192.08999633789062,199.22000122070312,22679100,205.17999267578125
